                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5237,                 4.1392,                 2.9238,                 3.4242,                0.18896,                0.28275,                0.15175,                0.04599,                0.19958,                0.24779,                0.14814,                 0.0381,                 2.7785,                 1.5314,                 11.954,                 2.6514,              0.0033303,              0.0033303,              0.0033303
                      1,                  1.944,                 2.2736,                 1.6844,                 1.9507,                0.50124,                0.43087,                0.41945,                0.22258,                0.50872,                0.41512,                0.40214,                 0.1984,                 1.8205,                 1.4629,                 20.667,                 1.9201,              0.0066416,              0.0066416,              0.0066416
                      2,                 1.4734,                 2.0463,                 1.3458,                 1.5215,                0.55736,                0.50649,                0.51099,                0.29315,                0.55099,                0.49624,                0.49217,                0.25609,                 1.4969,                 1.1299,                 12.281,                 1.6323,               0.009931,               0.009931,               0.009931
                      3,                 1.3148,                 1.9493,                 1.2281,                 1.3932,                0.57701,                0.49386,                0.51068,                0.25506,                0.56787,                0.47032,                0.49026,                0.22313,                 1.5578,                 1.0585,                 5.7765,                 1.5079,               0.009901,               0.009901,               0.009901
                      4,                 1.2331,                 1.8586,                 1.1434,                 1.3198,                0.64012,                0.31182,                0.42216,                0.26929,                0.61375,                0.31736,                0.42426,                0.25043,                 1.3203,                 1.0162,                 31.906,                  1.413,               0.009901,               0.009901,               0.009901
                      5,                 1.1742,                 1.8163,                 1.0883,                 1.2816,                0.67548,                0.53504,                0.60635,                0.35817,                0.67104,                0.51912,                0.58576,                0.32066,                 1.2914,                 1.0528,                 7.0977,                 1.3527,               0.009868,               0.009868,               0.009868
                      6,                 1.1374,                 1.7854,                 1.0418,                 1.2574,                0.63989,                0.38363,                0.48691,                0.31687,                 0.6459,                0.37982,                0.47953,                0.28583,                 1.2102,                 1.0252,                 32.167,                 1.2935,               0.009835,               0.009835,               0.009835
                      7,                 1.1176,                 1.7576,                  1.025,                 1.2414,                0.62208,                0.53378,                0.58716,                0.32374,                  0.606,                0.51774,                0.56393,                0.27428,                 1.1801,                0.95594,                 5.8519,                 1.2659,               0.009802,               0.009802,               0.009802
                      8,                 1.0976,                 1.7217,                0.99794,                 1.2334,                0.53891,                 0.4397,                 0.4887,                0.31431,                0.53946,                0.43174,                0.47318,                0.26586,                 1.1577,                 1.0663,                 26.046,                  1.292,               0.009769,               0.009769,               0.009769
                      9,                 1.0824,                 1.6945,                 0.9832,                 1.2229,                0.70265,                0.57692,                0.64757,                0.40042,                0.70386,                 0.5648,                 0.6306,                0.34956,                 1.1537,                0.95955,                 8.2678,                 1.2661,               0.009736,               0.009736,               0.009736
                     10,                 1.0658,                 1.6837,                0.97475,                 1.2103,                0.55246,                 0.6091,                0.61479,                0.40613,                0.54976,                0.58938,                0.59616,                0.35424,                 1.1318,                0.92711,                 11.401,                 1.2974,               0.009703,               0.009703,               0.009703
                     11,                 1.0588,                  1.677,                0.96411,                 1.2031,                0.70526,                0.60841,                0.68432,                0.42361,                0.70334,                0.58585,                0.65794,                0.34712,                 1.1251,                0.90815,                 5.4595,                  1.248,                0.00967,                0.00967,                0.00967
                     12,                  1.049,                  1.642,                0.94815,                 1.1953,                0.64466,                 0.6053,                0.66055,                0.43182,                0.65445,                0.57582,                0.63862,                0.38122,                 1.1131,                0.90979,                 8.0309,                 1.2554,               0.009637,               0.009637,               0.009637
                     13,                 1.0427,                 1.6735,                0.94636,                 1.1989,                0.65047,                0.61827,                0.66664,                0.42619,                  0.641,                0.60408,                0.64609,                0.35924,                 1.0794,                0.94717,                 6.5662,                 1.2175,               0.009604,               0.009604,               0.009604
