                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.0932,                 5.9698,                 3.4003,                 3.4712,                0.00308,                0.04815,                0.00411,                0.00154,                0.00109,                0.01704,                0.00075,                0.00022,                 4.3821,                 4.6223,                 3.7178,                 3.4036,             0.00065591,             0.00065591,             0.00065591
                      1,                 3.5283,                 3.9854,                 2.7391,                 2.9733,                0.14582,                0.02296,                0.01375,                0.00375,                0.08893,                0.01333,                0.00421,                0.00085,                 3.6201,                  6.511,                  3.456,                 3.2176,              0.0013182,              0.0013182,              0.0013182
                      2,                 3.0152,                 3.5511,                 2.3185,                 2.4471,                 0.3839,                0.22444,                0.18905,                0.05483,                0.35542,                0.18519,                0.15223,                0.04702,                 2.9544,                 4.3481,                 3.0232,                 2.1698,              0.0019761,              0.0019761,              0.0019761
                      3,                 2.8272,                 3.1704,                 2.1326,                 2.2054,                0.03569,                0.25778,                0.02137,                0.00696,                0.03136,                0.14148,                0.01671,                0.00484,                  3.138,                 16.563,                  6.515,                  2.202,              0.0019802,              0.0019802,              0.0019802
                      4,                 2.6867,                 3.1778,                 2.0512,                 2.0842,                 0.4241,                0.29778,                0.28283,                0.09447,                0.41325,                0.26074,                0.25125,                0.07896,                 2.6172,                 3.7064,                 2.0416,                 1.8188,              0.0019802,              0.0019802,              0.0019802
                      5,                 2.4884,                 3.0606,                 1.8957,                 1.9356,                0.37554,                   0.24,                0.20475,                0.07449,                0.32686,                0.20889,                0.16517,                0.05012,                 2.6836,                  3.755,                 2.0806,                 1.8656,              0.0019736,              0.0019736,              0.0019736
                      6,                  2.417,                 3.0764,                 1.9058,                 1.8921,                0.40392,                0.31333,                0.26724,                0.08245,                0.36421,                0.26815,                0.20944,                0.06262,                 2.5596,                 3.3727,                 1.8822,                  1.757,               0.001967,               0.001967,               0.001967
                      7,                 2.3274,                 2.9419,                 1.8065,                 1.8398,                0.46738,                0.31006,                0.30134,                0.10039,                 0.4206,                0.27155,                0.24316,                0.07387,                   2.45,                 3.3833,                 1.7521,                 1.6168,              0.0019604,              0.0019604,              0.0019604
                      8,                 2.2503,                 2.9645,                 1.7719,                 1.7671,                0.38519,                0.27056,                0.26194,                 0.1038,                0.39465,                0.24629,                 0.2468,                0.08227,                 2.3067,                 3.4107,                 2.1982,                 1.5962,              0.0019538,              0.0019538,              0.0019538
                      9,                 2.1528,                 2.8598,                 1.7051,                 1.7066,                 0.4267,                0.32473,                0.31831,                0.11649,                 0.3895,                0.28519,                0.26496,                0.08585,                 2.2791,                  2.976,                 1.7669,                 1.5271,              0.0019472,              0.0019472,              0.0019472
                     10,                 2.0824,                 2.7209,                 1.6267,                  1.641,                0.50818,                0.30296,                 0.3275,                0.13091,                0.51608,                 0.2763,                0.29117,                0.10542,                 2.2376,                 3.2724,                 1.6207,                 1.5313,              0.0019406,              0.0019406,              0.0019406
                     11,                 2.0745,                 2.6703,                  1.608,                  1.601,                0.46671,                0.39111,                0.37126,                0.14775,                0.47743,                0.35037,                0.35729,                0.12356,                 2.2379,                 2.8783,                 1.6572,                 1.5023,               0.001934,               0.001934,               0.001934
                     12,                 2.0486,                  2.716,                 1.6279,                 1.5997,                0.51171,                0.33037,                0.34172,                0.14317,                0.47927,                0.29556,                0.30557,                0.11637,                 2.1785,                 7.0896,                 1.6295,                 1.5214,              0.0019274,              0.0019274,              0.0019274
                     13,                 2.0154,                  2.756,                 1.5939,                 1.5642,                0.48741,                0.39556,                0.39221,                0.16026,                0.49463,                0.36815,                0.37624,                0.13768,                 2.1146,                 2.9587,                 1.5338,                 1.4545,              0.0019208,              0.0019208,              0.0019208
                     14,                 2.0077,                 2.7143,                 1.5759,                 1.5455,                0.47866,                0.42711,                0.41396,                0.16786,                0.45667,                0.38601,                0.37423,                0.13182,                 2.0985,                 12.322,                 1.6321,                  1.433,              0.0019142,              0.0019142,              0.0019142
                     15,                 1.9921,                 2.6608,                 1.5367,                 1.5353,                0.55119,                0.37556,                0.39687,                0.17144,                0.56794,                0.34468,                0.36028,                0.14095,                 2.0237,                 3.2283,                 1.5624,                 1.4088,              0.0019076,              0.0019076,              0.0019076
                     16,                 1.9083,                 2.6953,                 1.4913,                 1.5087,                0.48365,                0.41556,                0.41609,                0.18086,                 0.4651,                0.37333,                0.36979,                0.13657,                 2.0359,                 3.0126,                 1.5011,                 1.3965,               0.001901,               0.001901,               0.001901
                     17,                 1.8827,                 2.6394,                 1.5027,                  1.495,                0.51066,                0.41357,                0.40894,                0.17625,                0.54252,                0.36296,                0.37855,                 0.1413,                 2.0081,                 2.7967,                 1.4752,                 1.3957,              0.0018944,              0.0018944,              0.0018944
                     18,                  1.908,                 2.8005,                  1.518,                 1.4903,                0.53874,                0.33852,                0.37786,                0.17021,                0.52989,                0.28963,                0.32651,                0.12205,                 2.0083,                  3.017,                 1.6077,                 1.4032,              0.0018878,              0.0018878,              0.0018878
                     19,                 1.8831,                 2.6298,                 1.4727,                 1.4818,                0.53142,                0.42171,                0.43546,                0.18408,                0.48051,                0.37478,                0.36689,                0.13423,                 2.0111,                   3.37,                 1.4874,                 1.3853,              0.0018812,              0.0018812,              0.0018812
                     20,                 1.8439,                 2.6509,                 1.4292,                  1.453,                0.47412,                0.45185,                0.38844,                0.16806,                0.45963,                0.40296,                0.34967,                0.12696,                 2.0097,                 2.7575,                 1.7006,                 1.3809,              0.0018746,              0.0018746,              0.0018746
                     21,                 1.8223,                 2.5723,                  1.414,                  1.431,                0.52773,                0.45857,                 0.4429,                0.19453,                0.48704,                0.42074,                0.39587,                0.14311,                 1.9645,                  2.871,                 1.5421,                 1.3677,               0.001868,               0.001868,               0.001868
                     22,                 1.8369,                 2.5491,                 1.4335,                 1.4385,                0.50176,                   0.44,                 0.4385,                0.18646,                0.50039,                0.38876,                0.39937,                0.14521,                 1.9463,                 2.7625,                 1.4587,                 1.3239,              0.0018614,              0.0018614,              0.0018614
                     23,                 1.8072,                  2.564,                 1.4201,                 1.4144,                0.52034,                0.41303,                0.41419,                0.18648,                0.52331,                0.36963,                0.37714,                0.14114,                 1.9683,                 2.8435,                 1.4364,                 1.3594,              0.0018548,              0.0018548,              0.0018548
